column,importance
relative_pos_in_chrom,311
temp_3,44
gerp_n,272
gerp_rs,251
phastcons_m,0
phastcons_p,0
phastcons_v,0
phylop_m,0
phylop_p,0
phylop_v,0
cpg_island,5
dis2splice,277
CG_content_old,137
CG_content_new,78
RSCU,81
dRSCU,83
MES,43
dMES,43
MES+,34
MES-,16
MEC-MC,2
MEC-CS,3
MES-KM,14
SR-,54
SR+,63
FAS6-,14
FAS6+,0
PESE-,56
PESE+,45
PESS-,5
PESS+,5
dpsi,241
dpsiz,70
cai,222
tfbs,19
dg_old,126
dg_new,147
ori_AAA,0
ori_AAT,0
ori_AAC,0
ori_AAG,0
ori_ATA,0
ori_ATT,0
ori_ATC,0
ori_ATG,0
ori_ACA,0
ori_ACT,0
ori_ACC,0
ori_ACG,0
ori_AGA,0
ori_AGT,0
ori_AGC,0
ori_AGG,0
ori_TAA,0
ori_TAT,0
ori_TAC,0
ori_TAG,0
ori_TTA,0
ori_TTT,0
ori_TTC,0
ori_TTG,0
ori_TCA,0
ori_TCT,0
ori_TCC,5
ori_TCG,0
ori_TGA,0
ori_TGT,0
ori_TGC,0
ori_TGG,0
ori_CAA,0
ori_CAT,0
ori_CAC,0
ori_CAG,0
ori_CTA,0
ori_CTT,0
ori_CTC,0
ori_CTG,0
ori_CCA,0
ori_CCT,0
ori_CCC,6
ori_CCG,2
ori_CGA,0
ori_CGT,0
ori_CGC,0
ori_CGG,0
ori_GAA,0
ori_GAT,0
ori_GAC,0
ori_GAG,0
ori_GTA,0
ori_GTT,0
ori_GTC,0
ori_GTG,0
ori_GCA,0
ori_GCT,0
ori_GCC,0
ori_GCG,2
ori_GGA,0
ori_GGT,0
ori_GGC,0
ori_GGG,0
var_AAA,0
var_AAT,0
var_AAC,0
var_AAG,0
var_ATA,0
var_ATT,0
var_ATC,0
var_ATG,0
var_ACA,0
var_ACT,0
var_ACC,0
var_ACG,0
var_AGA,0
var_AGT,0
var_AGC,0
var_AGG,0
var_TAA,0
var_TAT,0
var_TAC,0
var_TAG,0
var_TTA,0
var_TTT,0
var_TTC,0
var_TTG,0
var_TCA,2
var_TCT,0
var_TCC,0
var_TCG,0
var_TGA,0
var_TGT,0
